x,y,z
6.601786,-1.783538,4.593453
6.265020,-3.092458,3.366741
6.145863,-3.862855,2.433874
5.406901,-4.423665,1.420454
4.577253,-4.968036,-0.013954
3.495666,-5.340860,-1.233990
2.398965,-5.379205,-2.106938
0.440708,-5.091686,-2.858017
6.162142,-0.470323,4.636948
6.125201,1.333351,3.547647
5.515251,2.630527,2.675001
4.364543,3.407197,1.809140
8.479724,-17.254356,-0.740389
9.641704,-16.982811,0.907135
10.732324,-16.817060,1.651635
6.894701,-17.631098,-1.853976
6.104605,-17.469086,-3.542394
4.626887,-17.028650,-4.518772
2.375329,-16.952902,-5.472661
0.827145,-16.637934,-6.196055
-0.814409,-16.855366,-6.310457
-2.716405,-16.431528,-6.978468
-4.483316,-16.111593,-6.956104
11.513281,-15.841844,3.113478
12.187008,-15.211381,4.856344
12.786798,-14.475676,6.089132
13.362195,-13.658464,8.168557
-5.995169,-15.323271,-7.238211
13.905522,-12.821446,9.668457
13.887152,-12.493075,12.009442
13.556971,-12.097708,14.646092
12.513734,-10.738242,17.403173
-7.824682,-15.402781,-6.368747
16.189322,8.756329,12.279201
15.087525,9.500196,10.495296
13.923035,10.129217,8.690985
11.971110,12.070600,6.273135
10.845474,13.883176,4.713586
8.939017,15.897911,3.847069
-9.346271,-14.600518,-6.104348
17.024906,7.316638,15.441765
17.086699,6.763464,17.976088
16.832779,6.185305,19.929295
9.748716,15.109272,3.697713
12.848653,10.675570,6.660974
7.759347,16.544107,3.080445
5.907035,17.246805,2.565769
4.545741,17.757807,2.175602
3.483077,17.980118,1.508274
2.386676,17.986296,0.719448
0.630961,18.162802,0.420972
-1.392791,18.162037,0.645243
-3.146572,17.690733,1.184148
2.561545,4.305140,1.357646
0.980135,5.191591,0.864084
11.207308,-8.630586,19.437267
15.704083,6.770784,21.687202
15.510529,5.527456,23.309336
15.106844,4.304826,23.550564
14.363177,3.388435,23.815542
13.040545,1.607785,23.679230
12.106277,0.805420,23.957586
11.600409,-0.465221,23.432800
11.468583,-1.596691,22.618994
10.645205,-2.699044,22.595840
10.441229,-3.984580,21.640596
10.038938,-5.055779,21.351734
10.888218,-6.882918,19.969311
-0.532627,6.264894,0.271052
-1.316653,-4.843592,-3.267951
-3.183642,-4.522283,-3.263889
-4.942474,-3.996869,-2.671085
-6.799848,-3.570123,-1.828887
-8.143434,-3.539666,-0.624793
-9.945112,-3.554273,1.652496
-1.869865,7.023163,-0.263651
-3.592663,6.962168,0.473921
-5.478023,7.530937,1.271780
-5.304094,17.323681,2.640305
-7.239904,16.310881,3.847783
-7.193309,7.698884,2.671973
-7.902006,9.613045,2.406113
-8.066625,14.674321,3.529800
-8.617010,13.010160,3.659527
-8.633418,10.999165,3.373303
-11.418388,-4.033632,2.938292
-11.660629,-5.079522,0.576338
-10.802032,-14.649963,-5.179673
-12.028201,-13.840653,-4.524545
-12.954794,-13.660740,-3.555457
-12.741177,-12.312430,-3.749509
-12.739016,-9.948057,-2.895634
-13.041252,-8.936898,-1.853731
-12.139613,-6.878853,-1.436927
-11.991082,-6.022957,-0.545517
16.529278,8.217688,13.766747
