Landmark,X,Y,Z
HIP CENTRE,-102.26989317738851,-92.83399373362272,-145.81555464786828
FEMUR KNEE CENTRE,3.1162312815905415,1.6025662567640615,28.861878514730016
MEDIAL EPICONDYLE,-18.061237314098566,12.563977942498282,24.876062134218866
LATERAL EPICONDYLE,13.099290334082996,-16.83316772206001,19.548102135973807
MEDIAL DISTAL CONDYLE,-3.415650205079615,11.011961262768756,34.61826942213134
LATERAL DISTAL CONDYLE,13.452796103341724,-3.9804004283695384,30.110378745459673
MEDIAL POSTERIOR CONDYLE,-18.14193596907449,-1.505373231870026,38.791614918329174
LATERAL POSTERIOR CONDYLE,2.608830358941951,-19.37638364920596,34.82848028805905
Medial Anterior Cortex,1.6852652985072663,13.87584981847648,14.904400995176827
Lateral Anterior Cortex,15.829822650939006,1.9874297999271644,10.798576901317404
Medial Posterior Proximal,-20.87042423328406,-3.529608506741939,25.875271078087298
Lateral Posterior Proximal,-2.0963901774430087,-20.472089146444443,21.958390300051505
MA_Length,224.8037027,,
TEA_Length,43.16894502,,
AP_Length,34.76554931,,
