x,y,z
6.311866,14.422013,-98.438004
9.474551,16.716255,-100.099449
11.842919,18.209551,-99.528397
13.614987,22.638985,-97.636818
15.981915,27.636528,-92.038261
17.239590,32.627850,-89.930359
18.056496,36.449486,-87.772690
16.786242,41.933331,-84.797485
13.629177,45.818687,-82.276825
9.752241,48.473938,-81.811821
5.773454,50.585705,-81.569664
1.120852,53.606308,-80.878151
-3.175706,54.684864,-81.287582
-7.067073,55.147560,-81.697342
-9.330899,55.480583,-81.988792
-11.786082,55.978931,-82.216934
-15.529582,55.730270,-82.826180
-18.965178,54.994438,-83.053543
-21.769999,52.527763,-84.256256
-24.474422,48.579342,-86.170616
-27.444714,45.539291,-86.795021
-30.805275,43.400497,-86.981750
-32.380569,38.505886,-88.593384
-34.632027,34.177860,-89.241699
3.209528,11.148782,-95.940254
-0.239350,9.716215,-93.241463
-3.838389,8.612805,-91.264732
-5.928528,5.976507,-88.152191
-12.927652,-2.845899,-87.755852
-10.662525,2.452596,-86.395538
-21.741693,-8.341885,-86.039001
-17.887020,-6.195176,-87.092758
-24.628878,-4.800559,-86.713356
-36.327316,30.275623,-89.769806
-36.405651,26.076242,-91.116287
-37.595718,21.484150,-91.005272
-39.360535,18.077837,-88.999939
-38.147404,13.998878,-89.983551
-37.038712,10.087283,-89.946640
-35.870529,5.652102,-89.066162
-33.379185,3.134307,-88.970764
-31.028120,-0.282527,-88.171143
-30.007057,-4.304413,-86.486206
31.987497,14.550570,-86.738770
34.781590,17.816792,-80.568314
38.420589,20.408710,-79.902962
41.060265,23.608217,-79.612144
45.193794,25.623569,-79.029938
48.641979,27.058445,-77.551605
51.800198,25.234640,-76.299385
56.250736,21.573441,-73.831497
61.122730,12.105027,-75.443726
64.242279,8.046946,-72.908592
65.627632,0.040755,-74.120026
66.268814,-6.143072,-73.467987
63.762203,-13.738708,-73.805557
60.111866,-20.250164,-75.536423
55.910645,-26.658800,-76.524025
51.884548,-31.283274,-78.407295
46.637897,-33.925732,-80.568001
39.464535,-37.423702,-80.775612
34.580830,-38.391769,-84.064682
29.686934,-38.400478,-87.509689
31.455894,6.761856,-95.079292
27.567045,3.422398,-99.170685
21.882511,0.688791,-100.276642
15.464666,-4.073969,-96.502258
10.602493,-9.544354,-95.981178
7.358147,-15.229552,-96.974213
4.434860,-20.374287,-94.392517
7.280731,-26.091421,-94.199730
13.401876,-32.145645,-93.768646
25.225567,-38.798172,-87.767075
21.548426,-38.949875,-88.073738
17.052752,-35.929520,-92.985268
-22.260542,-13.324737,-84.565117
-17.423815,-17.587542,-86.011917
-12.066916,-21.770754,-88.077156
-6.818672,-24.956573,-90.619835
-3.240561,-28.840717,-89.894745
2.309323,-31.631638,-90.603760
6.172812,-34.313744,-91.359985
